版本,日期,程式碼行數,測試行數,文件行數,圈複雜度,重複程度(%),函數數量,備註
TDD,2024-11-14,48,62,0,0.0,0,8,第一週：Cart 骨架＋初始化測試
TDD,2024-11-21,82,96,0,0.0,0,12,第二週：完成 add/update/remove 流程
TDD,2024-11-28,118,120,0,0.0,0,14,第三週：折扣碼流程與 summary
TDD,2024-12-05,132,135,0,0.0,0,15,第四週：預發布重構與整理
BDD,2024-11-14,,,,,,,第一週
BDD,2024-11-21,,,,,,,第二週
BDD,2024-11-28,,,,,,,第三週
BDD,2024-12-05,,,,,,,第四週（最終）
DDD,2024-11-14,,,,,,,第一週
DDD,2024-11-21,,,,,,,第二週
DDD,2024-11-28,,,,,,,第三週
DDD,2024-12-05,,,,,,,第四週（最終）
TDD,2025-11-19,140,142,0,0.0,0,16,手動執行 collect_metrics（radon 未安裝）
TDD,2025-11-19,140,142,0,2.53,0,16,啟用 venv radon 後自動收集
